beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url
Imperial Biscotti Break,Evil Twin Brewing,Stout - Imperial / Double,11.5,66,,,,,,,,3.75,12/13/2018 22:19,https://untappd.com/c/687144450,https://untappd.com/beer/129531,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144450,129531,3735,
Imperial Doughnut Break,Evil Twin Brewing,Porter - Imperial / Double,11.5,70,,,,,,,,3.75,12/13/2018 22:19,https://untappd.com/c/687144553,https://untappd.com/beer/315858,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144553,315858,3735,
I Love You With My Stout,Evil Twin Brewing,Stout - Imperial / Double,12,0,,,,,,,,2,12/13/2018 22:19,https://untappd.com/c/687144643,https://untappd.com/beer/657160,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144643,657160,3735,
Even More Coco Jesus,Evil Twin Brewing,Stout - Imperial / Double,12,75,,,,,,,,3.75,12/13/2018 22:19,https://untappd.com/c/687144696,https://untappd.com/beer/2051293,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144696,2051293,3735,
Aún Más Café Jesús,Evil Twin Brewing,Stout - American Imperial / Double,12,0,,,,,,,,3.5,12/13/2018 22:20,https://untappd.com/c/687144761,https://untappd.com/beer/347892,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144761,347892,3735,
You're In the Jungle Baby!,Evil Twin Brewing,Stout - Imperial / Double,12,65,,,,,,,,4,12/13/2018 22:20,https://untappd.com/c/687144858,https://untappd.com/beer/2249733,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144858,2249733,3735,
Aún Más A Jesús,Evil Twin Brewing,Stout - American Imperial / Double,12,0,,,,,,,,3.5,12/13/2018 22:20,https://untappd.com/c/687144931,https://untappd.com/beer/281665,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687144931,281665,3735,
Mean Old Tom,Maine Beer Company,Stout - American,6.5,0,,,,,,,,4.25,12/13/2018 22:22,https://untappd.com/c/687145534,https://untappd.com/beer/29271,https://untappd.com/brewery/2874,United States,Freeport,ME,,,,687145534,29271,2874,
Pudding Stout,Untitled Art,Stout - Other,12,0,,,,,,,,3.75,12/13/2018 22:22,https://untappd.com/c/687145788,https://untappd.com/beer/2734767,https://untappd.com/brewery/315146,United States,Waunakee,WI,,,,687145788,2734767,315146,
Fitness Freak,Hoof Hearted Brewing,Stout - Imperial / Double,14,0,,,,,,,,4.75,12/13/2018 22:23,https://untappd.com/c/687145868,https://untappd.com/beer/1890940,https://untappd.com/brewery/32642,United States,Marengo,OH,,,,687145868,1890940,32642,
Bourbon Barrel Aged Fitness Freak,Hoof Hearted Brewing,Stout - Imperial / Double,14,0,,,,,,,,3.25,12/13/2018 22:24,https://untappd.com/c/687146225,https://untappd.com/beer/2322093,https://untappd.com/brewery/32642,United States,Marengo,OH,,,,687146225,2322093,32642,
Bourbon Barrel Aged Girth Brooks,Hoof Hearted Brewing,Stout - Imperial / Double,15,0,,,,,,,,3,12/13/2018 22:24,https://untappd.com/c/687146297,https://untappd.com/beer/2852138,https://untappd.com/brewery/32642,United States,Marengo,OH,,,,687146297,2852138,32642,
Girth Brooks,Hoof Hearted Brewing,Stout - Imperial / Double,15,0,,,,,,,,4.75,12/13/2018 22:24,https://untappd.com/c/687146350,https://untappd.com/beer/2157631,https://untappd.com/brewery/32642,United States,Marengo,OH,,,,687146350,2157631,32642,
Zephyr,Rising Tide Brewing Company,IPA - American,6.3,58,,,,,,,,2.5,12/13/2018 22:25,https://untappd.com/c/687146885,https://untappd.com/beer/211898,https://untappd.com/brewery/10413,United States,Portland,ME,,,,687146885,211898,10413,
Daymark,Rising Tide Brewing Company,Pale Ale - American,5.5,38,,,,,,,,2.75,12/13/2018 22:26,https://untappd.com/c/687146974,https://untappd.com/beer/43298,https://untappd.com/brewery/10413,United States,Portland,ME,,,,687146974,43298,10413,
Ishmael,Rising Tide Brewing Company,Altbier,4.9,43,,,,,,,,3.5,12/13/2018 22:26,https://untappd.com/c/687147033,https://untappd.com/beer/13633,https://untappd.com/brewery/10413,United States,Portland,ME,,,,687147033,13633,10413,
Waypoint,Rising Tide Brewing Company,Porter - Other,5,30,,,,,,,,3.75,12/13/2018 22:26,https://untappd.com/c/687147121,https://untappd.com/beer/982125,https://untappd.com/brewery/10413,United States,Portland,ME,,,,687147121,982125,10413,
Ursa Minor,Rising Tide Brewing Company,Stout - Other,6.7,0,,,,,,,,4.25,12/13/2018 22:26,https://untappd.com/c/687147180,https://untappd.com/beer/13659,https://untappd.com/brewery/10413,United States,Portland,ME,,,,687147180,13659,10413,
Flux Stout,Nuts & Bolts Brewing Co.,Stout - American,6.8,0,,,,,,,,4.5,12/13/2018 22:28,https://untappd.com/c/687147673,https://untappd.com/beer/2668996,https://untappd.com/brewery/388825,United States,Biddeford,ME,,,,687147673,2668996,388825,
Nqis Nuts And Bolts,Nuts & Bolts Brewing Co.,Stout - Coffee,7.6,0,,,,,,,,4.5,12/13/2018 22:28,https://untappd.com/c/687147735,https://untappd.com/beer/2892452,https://untappd.com/brewery/388825,United States,Biddeford,ME,,,,687147735,2892452,388825,
Urkel Grue,Nuts & Bolts Brewing Co.,Porter - Other,6.5,0,,,,,,,,4.75,12/13/2018 22:28,https://untappd.com/c/687147782,https://untappd.com/beer/2856769,https://untappd.com/brewery/388825,United States,Biddeford,ME,,,,687147782,2856769,388825,
Belgian Stout,Nuts & Bolts Brewing Co.,Stout - Foreign / Export,5.4,0,,,,,,,,4.25,12/13/2018 22:28,https://untappd.com/c/687147855,https://untappd.com/beer/2948165,https://untappd.com/brewery/388825,United States,Biddeford,ME,,,,687147855,2948165,388825,
Kitchen Sink Stout,Nuts & Bolts Brewing Co.,Stout - Other,0,0,,,,,,,,4.25,12/13/2018 22:28,https://untappd.com/c/687147915,https://untappd.com/beer/2599252,https://untappd.com/brewery/388825,United States,Biddeford,ME,,,,687147915,2599252,388825,
Black,Allagash Brewing Company,Belgian Strong Dark Ale,7.5,0,,,,,,,,3.75,12/13/2018 22:29,https://untappd.com/c/687148193,https://untappd.com/beer/6539,https://untappd.com/brewery/24,United States,Portland,ME,,,,687148193,6539,24,
Stout In Maine Grown Oak Barrels,Allagash Brewing Company,Stout - Imperial / Double,10.1,0,,,,,,,,3.75,12/13/2018 22:31,https://untappd.com/c/687148604,https://untappd.com/beer/2635204,https://untappd.com/brewery/24,United States,Portland,ME,,,,687148604,2635204,24,
Tessellation,Lone Pine Brewing Company,IPA - Imperial / Double,8.1,0,,,,,,,,1.75,12/13/2018 22:31,https://untappd.com/c/687148881,https://untappd.com/beer/1898103,https://untappd.com/brewery/255794,United States,Portland,ME,,,,687148881,1898103,255794,
Brightside IPA,Lone Pine Brewing Company,IPA - American,7.1,0,,,,,,,,1.5,12/13/2018 22:31,https://untappd.com/c/687148913,https://untappd.com/beer/1589500,https://untappd.com/brewery/255794,United States,Portland,ME,,,,687148913,1589500,255794,
T-Shirt Cannon,Lone Pine Brewing Company,IPA - American,7.7,0,,,,,,,,1.25,12/13/2018 22:32,https://untappd.com/c/687148983,https://untappd.com/beer/2111569,https://untappd.com/brewery/255794,United States,Portland,ME,,,,687148983,2111569,255794,
Chaga Stout,Lone Pine Brewing Company,Stout - Other,8,45,,,,,,,,3.25,12/13/2018 22:32,https://untappd.com/c/687149049,https://untappd.com/beer/1543037,https://untappd.com/brewery/255794,United States,Portland,ME,,,,687149049,1543037,255794,
Diamond Unicorn,Lone Pine Brewing Company,IPA - Imperial / Double,7.8,0,,,,,,,,1.25,12/13/2018 22:32,https://untappd.com/c/687149113,https://untappd.com/beer/2680526,https://untappd.com/brewery/255794,United States,Portland,ME,,,,687149113,2680526,255794,
Pumpkinhead Ale,Shipyard Brewing Company,Pumpkin / Yam Beer,4.5,18,,,,,,,,1.25,12/13/2018 22:34,https://untappd.com/c/687149928,https://untappd.com/beer/5117,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687149928,5117,2392,
Summer Ale,Shipyard Brewing Company,Pale Wheat Ale - American,5.1,22,,,,,,,,1.25,12/13/2018 22:34,https://untappd.com/c/687149971,https://untappd.com/beer/13176,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687149971,13176,2392,
Export Ale,Shipyard Brewing Company,Blonde Ale,5.1,29,,,,,,,,2.5,12/13/2018 22:35,https://untappd.com/c/687150009,https://untappd.com/beer/13175,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687150009,13175,2392,
Old Thumper,Shipyard Brewing Company,Extra Special / Strong Bitter,5.6,0,,,,,,,,3,12/13/2018 22:35,https://untappd.com/c/687150047,https://untappd.com/beer/46857,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687150047,46857,2392,
